condition,base_media,base_media_vol,MgSO4,Tryptone,Yeast_extract,Na_L_glut,Trace_metals,NaCl,K2HPO4,cells,total,predicted_growth_rate_per_hr
R1-1,Defined Glycerol Media,172.2,0.0,0.0,6.1,0.0,11.7,0.0,0.0,10.0,200,
R1-2,Defined-Minimal Media,139.3,0.0,13.4,10.0,5.5,12.1,9.7,0.0,10.0,200,
R1-3,Semi-Defined Media,138.8,0.0,5.0,14.9,0.0,18.2,0.0,13.1,10.0,200,
R1-4,High Buffer Defined Media,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,200,
R1-5,Prepared LBv2 Media,135.8,5.4,15.3,0.0,7.6,9.0,8.3,8.6,10.0,200,
R1-6,Novel Bio NBxCyclone Media,138.3,9.8,0.0,0.0,5.9,15.2,20.8,0.0,10.0,200,
