condition,base_media,base_media_vol,Yeast_extract,MgSO4,K2HPO4,NH4_2SO4,MOPS,Na_L_glut,Tryptone,cells,total,predicted_growth_rate_per_hr
R1-1,Defined Glycerol Media,150.1,15.7,0.0,8.1,0.0,11.1,0.0,5.0,10.0,200,
R1-2,Defined-Minimal Media,146.6,25.9,0.0,8.0,9.5,0.0,0.0,0.0,10.0,200,
R1-3,Semi-Defined Media,143.3,22.0,0.0,0.0,12.1,0.0,0.0,12.6,10.0,200,
R1-4,High Buffer Defined Media,149.4,9.7,0.0,8.3,13.2,0.0,0.0,9.4,10.0,200,
R1-5,Prepared LBv2 Media,147.6,17.5,0.0,12.0,12.9,0.0,0.0,0.0,10.0,200,
R1-6,Novel Bio NBxCyclone Media,138.2,9.1,0.0,20.0,6.9,0.0,6.5,9.3,10.0,200,
